,CensusTract,State,County,LALOWI1_20,GEOID,INTPTLAT,INTPTLON,LAT,LON
0,48001950500,Texas,Anderson,1508.4485004141,48001950500,+31.7878081,-095.6419012,31.7878081,-95.6419012
1,48001950600,Texas,Anderson,1773.14984424814,48001950600,+31.7502049,-095.6692086,31.7502049,-95.6692086
2,48005000400,Texas,Angelina,930.881586096906,48005000400,+31.3415939,-094.7543239,31.3415939,-94.7543239
3,48005000500,Texas,Angelina,1356.27044991866,48005000500,+31.3708474,-094.7362500,31.3708474,-94.73625
4,48005000600,Texas,Angelina,1384.21375810354,48005000600,+31.3505991,-094.6970483,31.3505991,-94.6970483
5,48005000800,Texas,Angelina,786.382969914702,48005000800,+31.3117310,-094.7028810,31.311731,-94.702881
6,48007950400,Texas,Aransas,2004.88445657795,48007950400,+28.0171583,-097.0709124,28.0171583,-97.0709124
7,48013960300,Texas,Atascosa,1381.90279179026,48013960300,+29.0371934,-098.5854561,29.0371934,-98.5854561
8,48019000200,Texas,Bandera,275.958460843205,48019000200,+29.7598376,-099.3924167,29.7598376,-99.3924167
9,48021950200,Texas,Bastrop,2058.75998189177,48021950200,+30.3542454,-097.3737427,30.3542454,-97.3737427
10,48021950700,Texas,Bastrop,777.550247413473,48021950700,+30.0253535,-097.1843732,30.0253535,-97.1843732
11,48025950300,Texas,Bee,357.326392448303,48025950300,+28.4206925,-097.7544627,28.4206925,-97.7544627
12,48025950500,Texas,Bee,1427.10787219202,48025950500,+28.3915540,-097.7416551,28.391554,-97.7416551
13,48027020500,Texas,Bell,585.247684782603,48027020500,+31.1211444,-097.3304656,31.1211444,-97.3304656
14,48027020800,Texas,Bell,249.706662999413,48027020800,+31.0543550,-097.3031304,31.054355,-97.3031304
15,48027020900,Texas,Bell,1305.61404975492,48027020900,+31.0546474,-097.3328749,31.0546474,-97.3328749
16,48027021000,Texas,Bell,1143.18885294348,48027021000,+31.0807808,-097.3560713,31.0807808,-97.3560713
17,48027021500,Texas,Bell,2894.16650239007,48027021500,+31.0147032,-097.4507682,31.0147032,-97.4507682
18,48027021601,Texas,Bell,2477.98599749093,48027021601,+31.0620719,-097.4887008,31.0620719,-97.4887008
19,48027021602,Texas,Bell,689.81037438583,48027021602,+31.0747037,-097.4969317,31.0747037,-97.4969317
20,48027022101,Texas,Bell,354.341728270053,48027022101,+31.1251128,-097.6995328,31.1251128,-97.6995328
21,48027022104,Texas,Bell,1383.51707448282,48027022104,+31.1194295,-097.6776398,31.1194295,-97.6776398
22,48027022105,Texas,Bell,1013.79572958592,48027022105,+31.1253496,-097.6736900,31.1253496,-97.67369
23,48027022300,Texas,Bell,1260.55873681847,48027022300,+31.0946367,-097.6917827,31.0946367,-97.6917827
24,48027022401,Texas,Bell,2387.06978219747,48027022401,+31.0926925,-097.7079001,31.0926925,-97.7079001
25,48027022405,Texas,Bell,159.235983841121,48027022405,+31.0833402,-097.7135584,31.0833402,-97.7135584
26,48027023103,Texas,Bell,1585.82758031983,48027023103,+31.0979996,-097.7527409,31.0979996,-97.7527409
27,48027023104,Texas,Bell,1010.2595568574,48027023104,+31.1071639,-097.7555167,31.1071639,-97.7555167
28,48027023107,Texas,Bell,1826.9922404784,48027023107,+31.0852938,-097.7577207,31.0852938,-97.7577207
