CensusTract,State,County,POP2010,LALOWI1_20,LILATracts_Vehicle,TractKids,TractSeniors,TractHUNV,TractSNAP
48001950500,Texas,Anderson,4377,1508.45,0,1293,627,66,288
48001950600,Texas,Anderson,6405,1773.15,1,1950,791,194,412
48005000400,Texas,Angelina,5479,930.88,1,1476,822,176,717
48005000500,Texas,Angelina,4006,1356.27,1,1106,599,318,570
48005000600,Texas,Angelina,6416,1384.21,0,1983,670,65,520
48005000800,Texas,Angelina,6299,786.38,0,1718,976,30,391
48007950400,Texas,Aransas,3583,2004.88,1,848,657,231,329
48013960300,Texas,Atascosa,3595,1381.9,1,1098,432,104,379
48019000200,Texas,Bandera,2726,275.96,1,541,738,26,90
48021950200,Texas,Bastrop,7955,2058.76,1,2375,891,148,444
48021950700,Texas,Bastrop,4189,777.55,1,1058,784,146,260
48025950300,Texas,Bee,5093,357.33,1,1443,638,188,247
48025950500,Texas,Bee,7343,1427.11,1,2386,673,195,507
48027020500,Texas,Bell,3810,585.25,0,1069,499,27,196
48027020800,Texas,Bell,3528,249.71,1,1194,399,180,400
48027020900,Texas,Bell,2998,1305.61,1,760,559,100,164
48027021000,Texas,Bell,4610,1143.19,1,1189,426,145,262
48027021500,Texas,Bell,6538,2894.17,1,1864,596,137,392
48027021601,Texas,Bell,5080,2477.99,1,1457,613,154,322
48027021602,Texas,Bell,2499,689.81,0,360,166,27,66
48027022101,Texas,Bell,4256,354.34,1,1041,473,119,332
48027022104,Texas,Bell,4399,1383.52,1,1097,316,189,224
48027022105,Texas,Bell,2317,1013.8,0,734,108,14,57
48027022300,Texas,Bell,4010,1260.56,0,960,330,83,285
48027022401,Texas,Bell,5567,2387.07,0,1703,396,43,282
48027022405,Texas,Bell,1750,159.24,0,355,47,37,13
48027023103,Texas,Bell,4467,1585.83,1,1148,512,132,325
48027023104,Texas,Bell,3235,1010.26,0,796,334,34,218
48027023107,Texas,Bell,7105,1826.99,0,2324,183,32,363
48027023202,Texas,Bell,5198,3382.55,0,1823,3,0,58
48027023204,Texas,Bell,4486,1084.26,0,716,2,18,25
48029110100,Texas,Bexar,3379,1489.98,1,162,521,724,229
48029110300,Texas,Bexar,2542,1659.94,1,613,348,392,329
48029110600,Texas,Bexar,7553,4727.58,1,802,596,589,587
48029110700,Texas,Bexar,1398,1030.63,1,326,247,231,301
48029110800,Texas,Bexar,1965,1195.13,1,271,372,253,87
48029111000,Texas,Bexar,2125,752.73,1,436,262,163,256
48029120501,Texas,Bexar,8151,337.12,1,1948,1127,485,647
48029121203,Texas,Bexar,3996,583.48,1,1008,485,173,410
48029121204,Texas,Bexar,7747,1399.61,1,1601,828,377,622
48029121506,Texas,Bexar,5742,2012.93,0,1547,1014,92,366
48029130200,Texas,Bexar,1755,546.39,1,567,152,93,162
48029130300,Texas,Bexar,3303,2439.41,1,1077,298,124,349
48029130401,Texas,Bexar,4107,2403.39,1,1285,424,256,563
48029130402,Texas,Bexar,3972,3184.47,1,1375,434,331,627
48029130500,Texas,Bexar,4146,597.76,1,1388,396,319,490
48029130700,Texas,Bexar,1728,681.6,0,501,178,90,235
48029130800,Texas,Bexar,4848,3238.39,1,1613,576,224,656
48029130900,Texas,Bexar,4689,2496.03,1,1538,555,307,635
48029131100,Texas,Bexar,2438,1301.44,0,735,376,99,279
48029131200,Texas,Bexar,3361,339.16,1,1033,477,173,345
48029131401,Texas,Bexar,6632,2343.87,0,2169,440,18,454
48029131506,Texas,Bexar,3470,722.07,0,1177,133,57,218
48029131507,Texas,Bexar,6136,558.03,0,2169,295,125,546
