GEOID,ALAND,INTPTLAT,INTPTLON
48201542301,5956745,+29.8204990,-095.7316493
48157673800,14100074,+29.5874575,-095.7125243
48157674000,4826110,+29.5869509,-095.6224534
48157674100,4170610,+29.5791692,-095.5995891
48201552601,2911911,+29.9629845,-095.5679180
48157674200,5800449,+29.5713353,-095.6222087
48167720502,7201277,+29.4848585,-095.1166070
48167722002,1741222,+29.4013196,-094.9310115
48167720301,3266674,+29.5213838,-095.2007405
48167720503,12862403,+29.4799403,-095.1525663
48167721202,13569837,+29.5055765,-095.0210235
48167720501,4468671,+29.4994095,-095.1413405
48201323701,2311213,+29.6551252,-095.1769249
48201240501,3284070,+29.9582552,-095.3914922
48201240701,7409441,+30.0113158,-095.4162249
48201240901,5765658,+30.0205928,-095.3174303
48201240702,10244569,+29.9802287,-095.4059104
48157675500,286105227,+29.4660067,-095.6764980
48157674400,29435413,+29.5462114,-095.6015215
48157675400,141891632,+29.5222467,-095.8754669
48201454302,2751912,+29.7153445,-095.6704786
48201451002,599993,+29.7408429,-095.5854867
48157671400,3348402,+29.6147944,-095.5741983
48201450802,1716885,+29.7524960,-095.5652202
48201450801,903292,+29.7598431,-095.5679420
48201241103,2782048,+30.0474108,-095.3807767
48201453403,683895,+29.6697611,-095.5851314
48201453601,1197372,+29.6800754,-095.5912708
48201451902,2074758,+29.7224530,-095.5986977
48201453602,2558693,+29.6816890,-095.5787734
48201453502,1306532,+29.6713940,-095.5990545
48201453501,1504376,+29.6648611,-095.5890099
48245000309,4358793,+30.0864144,-094.2009265
48245011800,1985945,+29.8845452,-093.9346834
48245011700,4622947,+30.0855995,-094.1031176
48201553401,3717352,+30.0424343,-095.4426933
48201553402,5381705,+30.0527688,-095.4495075
48201553801,3699669,+30.0430149,-095.5102012
48201554903,13191714,+30.0609817,-095.5186873
48157674700,20855080,+29.5697990,-095.7234973
48157674900,9531606,+29.5943288,-095.7707429
48157674800,3901600,+29.5665590,-095.7717832
48157675200,6064842,+29.5429920,-095.7955779
48157674300,7472283,+29.5624784,-095.5772051
48157675000,3933646,+29.5655932,-095.7923687
48187210710,1969263,+29.5764999,-098.2701437
48187210712,2743228,+29.5869073,-098.2528385
48187210711,3704169,+29.5990695,-098.2674717
48187210709,4399576,+29.5922662,-098.2812989
48187210707,7690551,+29.5782765,-098.2975380
48439113809,2486176,+32.8655141,-097.2526871
48167722001,8426703,+29.4183084,-094.9251834
48167726200,36249642,+29.3584093,-094.9155031
48167721201,15449361,+29.5153009,-095.0499846
48439121609,4036423,+32.6893777,-097.2140987
48187210708,2626808,+29.5747452,-098.2516684
48201550301,2830250,+29.9841943,-095.4265706
48201550302,8876150,+30.0083264,-095.4389892
48157675800,321633134,+29.5291745,-095.9737864
48157675700,233643911,+29.3654736,-095.8542789
