CensusTract,State,County,POP2010,LALOWI1_20,LILATracts_Vehicle,TractKids,TractSeniors,TractHUNV,TractSNAP,GEOID,INTPTLAT,INTPTLON,ALAND_miles
48001950500,Texas,Anderson,4377,1508.45,0,1293,627,66,288,48001950500,+31.7878081,-095.6419012,8.895775022022
48001950600,Texas,Anderson,6405,1773.15,1,1950,791,194,412,48001950600,+31.7502049,-095.6692086,7.973641823892
48005000400,Texas,Angelina,5479,930.88,1,1476,822,176,717,48005000400,+31.3415939,-094.7543239,4.875170571178
48005000500,Texas,Angelina,4006,1356.27,1,1106,599,318,570,48005000500,+31.3708474,-094.7362500,5.743106245466
48005000600,Texas,Angelina,6416,1384.21,0,1983,670,65,520,48005000600,+31.3505991,-094.6970483,5.959259272534
48005000800,Texas,Angelina,6299,786.38,0,1718,976,30,391,48005000800,+31.3117310,-094.7028810,7.316698923442
48007950400,Texas,Aransas,3583,2004.88,1,848,657,231,329,48007950400,+28.0171583,-097.0709124,2.332347973112
48013960300,Texas,Atascosa,3595,1381.9,1,1098,432,104,379,48013960300,+29.0371934,-098.5854561,8.711795488512
48019000200,Texas,Bandera,2726,275.96,1,541,738,26,90,48019000200,+29.7598376,-099.3924167,476.031606020012
48021950200,Texas,Bastrop,7955,2058.76,1,2375,891,148,444,48021950200,+30.3542454,-097.3737427,14.31039958556
48021950700,Texas,Bastrop,4189,777.55,1,1058,784,146,260,48021950700,+30.0253535,-097.1843732,9.826108254428
48025950300,Texas,Bee,5093,357.33,1,1443,638,188,247,48025950300,+28.4206925,-097.7544627,4.100148026578
48025950500,Texas,Bee,7343,1427.11,1,2386,673,195,507,48025950500,+28.3915540,-097.7416551,3.717649130442
48027020500,Texas,Bell,3810,585.25,0,1069,499,27,196,48027020500,+31.1211444,-097.3304656,1.723236160626
48027020800,Texas,Bell,3528,249.71,1,1194,399,180,400,48027020800,+31.0543550,-097.3031304,11.970731890732
48027020900,Texas,Bell,2998,1305.61,1,760,559,100,164,48027020900,+31.0546474,-097.3328749,4.907383061038
48027021000,Texas,Bell,4610,1143.19,1,1189,426,145,262,48027021000,+31.0807808,-097.3560713,1.422051117894
48027021500,Texas,Bell,6538,2894.17,1,1864,596,137,392,48027021500,+31.0147032,-097.4507682,23.460639763906
48027021601,Texas,Bell,5080,2477.99,1,1457,613,154,322,48027021601,+31.0620719,-097.4887008,4.995004662816
48027021602,Texas,Bell,2499,689.81,0,360,166,27,66,48027021602,+31.0747037,-097.4969317,5.023303236702
48027022101,Texas,Bell,4256,354.34,1,1041,473,119,332,48027022101,+31.1251128,-097.6995328,0.90720070328
48027022104,Texas,Bell,4399,1383.52,1,1097,316,189,224,48027022104,+31.1194295,-097.6776398,0.689397476264
48027022105,Texas,Bell,2317,1013.8,0,734,108,14,57,48027022105,+31.1253496,-097.6736900,0.76030240585
48027022300,Texas,Bell,4010,1260.56,0,960,330,83,285,48027022300,+31.0946367,-097.6917827,3.3990103468
48027022401,Texas,Bell,5567,2387.07,0,1703,396,43,282,48027022401,+31.0926925,-097.7079001,1.482642104754
48027022405,Texas,Bell,1750,159.24,0,355,47,37,13,48027022405,+31.0833402,-097.7135584,0.916367536964
48027023103,Texas,Bell,4467,1585.83,1,1148,512,132,325,48027023103,+31.0979996,-097.7527409,0.985968213994
48027023104,Texas,Bell,3235,1010.26,0,796,334,34,218,48027023104,+31.1071639,-097.7555167,0.713224216786
48027023107,Texas,Bell,7105,1826.99,0,2324,183,32,363,48027023107,+31.0852938,-097.7577207,1.511360371514
48027023202,Texas,Bell,5198,3382.55,0,1823,3,0,58,48027023202,+31.1272653,-097.7767477,3.457727966756
48027023204,Texas,Bell,4486,1084.26,0,716,2,18,25,48027023204,+31.1376073,-097.6690472,9.531901233142
48029110100,Texas,Bexar,3379,1489.98,1,162,521,724,229,48029110100,+29.4270068,-098.4905375,1.36429720853
48029110300,Texas,Bexar,2542,1659.94,1,613,348,392,329,48029110300,+29.4143332,-098.4808558,0.598443042022
48029110600,Texas,Bexar,7553,4727.58,1,802,596,589,587,48029110600,+29.4292110,-098.5078374,0.75613250425
48029110700,Texas,Bexar,1398,1030.63,1,326,247,231,301,48029110700,+29.4393895,-098.5040375,0.379005059138
48029110800,Texas,Bexar,1965,1195.13,1,271,372,253,87,48029110800,+29.4423646,-098.4929891,0.495817902626
48029111000,Texas,Bexar,2125,752.73,1,436,262,163,256,48029111000,+29.4403237,-098.4708577,0.597257708882
48029120501,Texas,Bexar,8151,337.12,1,1948,1127,485,647,48029120501,+29.4834470,-098.4137358,2.481698404344
48029121203,Texas,Bexar,3996,583.48,1,1008,485,173,410,48029121203,+29.5259958,-098.4004284,2.886800097662
48029121204,Texas,Bexar,7747,1399.61,1,1601,828,377,622,48029121204,+29.5313449,-098.4210452,1.683865339686
48029121506,Texas,Bexar,5742,2012.93,0,1547,1014,92,366,48029121506,+29.5140315,-098.3428169,0.995111881558
48029130200,Texas,Bexar,1755,546.39,1,567,152,93,162,48029130200,+29.4158239,-098.4673756,0.38030853949
48029130300,Texas,Bexar,3303,2439.41,1,1077,298,124,349,48029130300,+29.4073203,-098.4671910,0.46698071645
48029130401,Texas,Bexar,4107,2403.39,1,1285,424,256,563,48029130401,+29.4080416,-098.4543969,0.614197161928
48029130402,Texas,Bexar,3972,3184.47,1,1375,434,331,627,48029130402,+29.4055240,-098.4405754,0.999486417218
48029130500,Texas,Bexar,4146,597.76,1,1388,396,319,490,48029130500,+29.4192226,-098.4521675,0.882002528454
48029130700,Texas,Bexar,1728,681.6,0,501,178,90,235,48029130700,+29.4394444,-098.4516934,0.567600055956
